-- Get current status of all service 
SELECT
    ep.external_partner_name,
    CASE rs.service_type
        WHEN 1 THEN 'BANK ACCOUNT'
        WHEN 2 THEN 'CASH PICKUP'
        WHEN 3 THEN 'E-WALLET'
        ELSE 'UNKNOWN'
    END AS service_type,
    rs.remit_service_id,
    rs.status,
    rs.foreign_country_name,
    rs.created_time
FROM remit_service rs
INNER JOIN external_partner ep
    ON rs.external_partner_id = ep.external_partner_id;

"external_partner_name","service_type","remit_service_id","status","foreign_country_name","created_time"
TELEPIN,CASH PICKUP,457,DEACTIVATE,PHILIPPINES,2022-03-07 08:37:01.653
THUNES,BANK ACCOUNT,702,DEACTIVATE,INDONESIA,2023-10-16 17:06:17.009
THUNES,E-WALLET,700,ACTIVATE,CHINA,2023-09-04 17:57:16.767
THUNES,E-WALLET,720,DEACTIVATE,PHILIPPINES,2023-10-16 17:06:16.922
THUNES,BANK ACCOUNT,686,ACTIVATE,NORWAY,2023-03-07 17:37:07.260
THUNES,BANK ACCOUNT,687,ACTIVATE,POLAND,2023-03-07 17:37:07.260
TELEPIN,E-WALLET,313,DEACTIVATE,PHILIPPINES,2022-03-07 08:36:28.667
TRANGLO,BANK ACCOUNT,725,ACTIVATE,MALAYSIA,2025-06-10 16:32:43.947
TELEPIN,E-WALLET,316,DEACTIVATE,PHILIPPINES,2022-03-07 08:36:29.216
THUNES,BANK ACCOUNT,688,ACTIVATE,PORTUGAL,2023-03-07 17:37:07.260
THUNES,BANK ACCOUNT,673,ACTIVATE,CZECH REPUBLIC,2023-03-07 17:37:07.260
THUNES,BANK ACCOUNT,676,ACTIVATE,FINLAND,2023-03-07 17:37:07.260
THUNES,BANK ACCOUNT,681,ACTIVATE,IRELAND,2023-03-07 17:37:07.260
THUNES,BANK ACCOUNT,685,ACTIVATE,LUXEMBOURG,2023-03-07 17:37:07.260
TELEPIN,E-WALLET,630,DEACTIVATE,PHILIPPINES,2022-03-07 08:36:39.301
TELEPIN,CASH PICKUP,496,DEACTIVATE,MYANMAR,2022-03-07 08:36:51.221
TELEPIN,BANK ACCOUNT,510,DEACTIVATE,MYANMAR,2022-03-07 08:36:52.654
TELEPIN,BANK ACCOUNT,428,DEACTIVATE,INDONESIA,2022-03-07 08:36:42.532
TELEPIN,CASH PICKUP,503,DEACTIVATE,MYANMAR,2022-03-07 08:36:51.906
TELEPIN,CASH PICKUP,354,DEACTIVATE,BANGLADESH,2022-03-07 08:36:33.979
TELEPIN,CASH PICKUP,361,DEACTIVATE,BANGLADESH,2022-03-07 08:36:34.751
TELEPIN,CASH PICKUP,368,DEACTIVATE,BANGLADESH,2022-03-07 08:36:35.626
THUNES,BANK ACCOUNT,670,ACTIVATE,AUSTRIA,2023-03-07 17:37:07.260
THUNES,BANK ACCOUNT,671,ACTIVATE,BELGIUM,2023-03-07 17:37:07.260
THUNES,E-WALLET,707,DEACTIVATE,INDONESIA,2023-10-16 17:06:16.828
THUNES,BANK ACCOUNT,672,ACTIVATE,BULGARIA,2023-03-07 17:37:07.260
THUNES,BANK ACCOUNT,682,ACTIVATE,ITALY,2023-03-07 17:37:07.260
TELEPIN,BANK ACCOUNT,524,DEACTIVATE,MALAYSIA,2022-03-07 08:36:54.154
THUNES,BANK ACCOUNT,684,ACTIVATE,LITHUANIA,2023-03-07 17:37:07.260
THUNES,CASH PICKUP,635,DEACTIVATE,UNITED KINGDOM,2022-05-25 09:34:05.805
THUNES,BANK ACCOUNT,694,ACTIVATE,SWITZERLAND,2023-03-07 17:37:07.260
THUNES,BANK ACCOUNT,640,ACTIVATE,"KOREA, REPUBLIC OF",2023-03-07 17:37:07.201
THUNES,BANK ACCOUNT,633,ACTIVATE,UNITED KINGDOM,2022-05-25 09:33:53.039
THUNES,BANK ACCOUNT,701,DEACTIVATE,THAILAND,2023-09-04 17:57:17.195
TRANGLO,BANK ACCOUNT,726,DEACTIVATE,BANGLADESH,2025-06-10 16:32:43.991
TELEPIN,E-WALLET,721,DEACTIVATE,MALAYSIA,2024-09-25 17:06:04.458
THUNES,CASH PICKUP,711,DEACTIVATE,MYANMAR,2023-10-16 17:06:16.945
TELEPIN,BANK ACCOUNT,333,DEACTIVATE,INDONESIA,2022-03-07 08:36:31.508
TRANGLO,BANK ACCOUNT,731,DEACTIVATE,CHINA,2025-06-10 16:32:44.221
THUNES,CASH PICKUP,634,DEACTIVATE,AUSTRALIA,2022-05-25 09:34:05.698
THUNES,E-WALLET,637,DEACTIVATE,UNITED KINGDOM,2022-05-25 09:34:19.841
THUNES,E-WALLET,636,DEACTIVATE,AUSTRALIA,2022-05-25 09:34:19.713
TELEPIN,BANK ACCOUNT,517,DEACTIVATE,MYANMAR,2022-03-07 08:36:53.379
THUNES,BANK ACCOUNT,632,ACTIVATE,AUSTRALIA,2022-05-25 09:33:45.319
WU,E-WALLET,740,ACTIVATE,PHILIPPINES,2026-05-18 17:10:18.744
TELEPIN,BANK ACCOUNT,319,DEACTIVATE,PHILIPPINES,2022-03-07 08:36:29.605
TELEPIN,E-WALLET,399,DEACTIVATE,PHILIPPINES,2022-03-07 08:36:39.301
TELEPIN,CASH PICKUP,596,DEACTIVATE,INDONESIA,2022-03-07 08:37:01.844
TRANGLO,CASH PICKUP,728,DEACTIVATE,BANGLADESH,2025-06-10 16:32:44.131
TRANGLO,BANK ACCOUNT,729,ACTIVATE,INDIA,2025-06-10 16:32:44.060
TRANGLO,E-WALLET,727,DEACTIVATE,BANGLADESH,2025-06-10 16:32:44.131
THUNES,BANK ACCOUNT,735,DEACTIVATE,PHILIPPINES,2025-10-08 17:31:23.517
WU,CASH PICKUP,738,ACTIVATE,INDIA,2026-01-27 18:09:26.586
THUNES,E-WALLET,706,DEACTIVATE,INDONESIA,2023-10-16 17:06:16.828
TRANGLO,E-WALLET,734,DEACTIVATE,CHINA,2025-06-10 16:32:44.267
TELEPIN,BANK ACCOUNT,426,DEACTIVATE,PHILIPPINES,2022-03-07 08:36:42.286
THUNES,BANK ACCOUNT,689,ACTIVATE,ROMANIA,2023-03-07 17:37:07.260
THUNES,BANK ACCOUNT,679,ACTIVATE,GREECE,2023-03-07 17:37:07.260
THUNES,BANK ACCOUNT,710,DEACTIVATE,MYANMAR,2023-10-16 17:06:16.856
THUNES,BANK ACCOUNT,699,DEACTIVATE,VIETNAM,2023-03-07 17:37:07.325
THUNES,E-WALLET,703,DEACTIVATE,INDONESIA,2023-10-16 17:06:16.828
THUNES,BANK ACCOUNT,680,ACTIVATE,HUNGARY,2023-03-07 17:37:07.260
THUNES,BANK ACCOUNT,690,ACTIVATE,SLOVAKIA,2023-03-07 17:37:07.260
TRANGLO,CASH PICKUP,733,DEACTIVATE,PHILIPPINES,2025-06-10 16:32:44.197
TRANGLO,CASH PICKUP,730,DEACTIVATE,INDIA,2025-06-10 16:32:44.027
THUNES,BANK ACCOUNT,691,ACTIVATE,SLOVENIA,2023-03-07 17:37:07.260
TELEPIN,CASH PICKUP,347,DEACTIVATE,BANGLADESH,2022-03-07 08:36:33.024
WU,CASH PICKUP,736,ACTIVATE,PHILIPPINES,2026-01-27 18:09:26.586
THUNES,E-WALLET,704,DEACTIVATE,INDONESIA,2023-10-16 17:06:16.828
THUNES,BANK ACCOUNT,692,ACTIVATE,SPAIN,2023-03-07 17:37:07.260
TELEPIN,CASH PICKUP,456,DEACTIVATE,INDIA,2022-03-07 08:36:28.667
THUNES,BANK ACCOUNT,693,ACTIVATE,SWEDEN,2023-03-07 17:37:07.260
TELEPIN,CASH PICKUP,595,DEACTIVATE,PHILIPPINES,2022-03-07 08:37:01.749
TELEPIN,CASH PICKUP,548,DEACTIVATE,INDONESIA,2022-03-07 08:36:56.823
TELEPIN,BANK ACCOUNT,455,DEACTIVATE,INDIA,2022-03-07 08:36:46.208
TELEPIN,CASH PICKUP,375,DEACTIVATE,BANGLADESH,2022-03-07 08:36:36.418
TELEPIN,BANK ACCOUNT,638,DEACTIVATE,THAILAND,2022-08-19 08:36:42.532
TRANGLO,E-WALLET,723,DEACTIVATE,MALAYSIA,2025-04-08 17:18:41.617
TRANGLO,BANK ACCOUNT,732,DEACTIVATE,PHILIPPINES,2025-06-10 16:32:44.155
WU,BANK ACCOUNT,739,ACTIVATE,PHILIPPINES,2026-05-18 17:10:18.657
WU,E-WALLET,750,ACTIVATE,MALAYSIA,2026-05-18 17:10:18.892
WU,BANK ACCOUNT,743,ACTIVATE,INDONESIA,2026-05-18 17:10:18.787
WU,E-WALLET,747,ACTIVATE,INDONESIA,2026-05-18 17:10:18.847
THUNES,E-WALLET,705,DEACTIVATE,INDONESIA,2023-10-16 17:06:16.828
THUNES,BANK ACCOUNT,674,ACTIVATE,DENMARK,2023-03-07 17:37:07.260
THUNES,BANK ACCOUNT,675,ACTIVATE,ESTONIA,2023-03-07 17:37:07.260
THUNES,BANK ACCOUNT,677,ACTIVATE,FRANCE,2023-03-07 17:37:07.260
THUNES,BANK ACCOUNT,678,ACTIVATE,GERMANY,2023-03-07 17:37:07.260
TRANGLO,E-WALLET,724,ACTIVATE,MALAYSIA,2025-04-08 17:18:41.672
THUNES,BANK ACCOUNT,683,ACTIVATE,LATVIA,2023-03-07 17:37:07.260
WU,E-WALLET,746,ACTIVATE,INDONESIA,2026-05-18 17:10:18.847
WU,E-WALLET,744,ACTIVATE,INDONESIA,2026-05-18 17:10:18.847
WU,E-WALLET,748,ACTIVATE,INDONESIA,2026-05-18 17:10:18.847
WU,BANK ACCOUNT,749,DEACTIVATE,MALAYSIA,2026-05-18 17:10:18.927
WU,CASH PICKUP,737,ACTIVATE,BANGLADESH,2026-01-27 18:09:26.586
TELEPIN,BANK ACCOUNT,629,ACTIVATE,CHINA,2022-03-07 08:37:01.653
WU,E-WALLET,757,DEACTIVATE,VIETNAM,2026-07-13 18:00:54.566
WU,BANK ACCOUNT,753,DEACTIVATE,CHINA,2026-05-19 05:28:18.083
WU,E-WALLET,758,DEACTIVATE,VIETNAM,2026-07-13 18:00:54.566
WU,BANK ACCOUNT,751,ACTIVATE,BANGLADESH,2026-05-19 05:28:17.620
WU,E-WALLET,752,ACTIVATE,BANGLADESH,2026-05-19 05:28:17.852
WU,E-WALLET,759,DEACTIVATE,VIETNAM,2026-07-13 18:00:54.566
WU,BANK ACCOUNT,756,ACTIVATE,VIETNAM,2026-07-13 18:00:54.440
TELEPIN,BANK ACCOUNT,489,DEACTIVATE,BANGLADESH,2022-03-07 08:36:50.279
TELEPIN,E-WALLET,475,DEACTIVATE,BANGLADESH,2022-03-07 08:36:48.811
WU,E-WALLET,754,DEACTIVATE,CHINA,2026-05-19 05:28:18.344
WU,E-WALLET,755,DEACTIVATE,CHINA,2026-05-19 05:28:18.344
WU,E-WALLET,741,DEACTIVATE,PHILIPPINES,2026-05-18 17:10:18.744
WU,E-WALLET,745,ACTIVATE,INDONESIA,2026-05-18 17:10:18.847
WU,E-WALLET,742,DEACTIVATE,PHILIPPINES,2026-05-18 17:10:18.744
WU,BANK ACCOUNT,760,ACTIVATE,THAILAND,2026-07-13 18:00:54.607
WU,E-WALLET,764,DEACTIVATE,MALAYSIA,2026-07-13 18:00:54.676
